brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price,used_price
Honor,Android,22.930000000000003,yes,no,13.0,5.0,64.0,4.0,3020.0,146.0,2020.0,127.0,111.62,86.96
Honor,Android,22.930000000000003,yes,yes,13.0,16.0,128.0,4.0,4300.0,213.0,2020.0,325.0,249.39,161.49
Honor,Android,22.930000000000003,yes,yes,13.0,8.0,128.0,4.0,4200.0,213.0,2020.0,162.0,359.47,233.22875000000005
Honor,Android,22.930000000000003,yes,yes,13.0,8.0,64.0,4.0,6675.0,240.0,2020.0,345.0,278.93,180.23
Honor,Android,15.72,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020.0,293.0,140.87,103.8
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020.0,223.0,157.7,113.67
Honor,Android,19.84,yes,no,8.0,5.0,32.0,4.0,3020.0,144.0,2020.0,234.0,91.74,72.29
Honor,Android,18.57,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020.0,219.0,179.24,132.91
Honor,Android,15.72,yes,no,13.0,16.0,128.0,4.0,4000.0,165.0,2020.0,161.0,200.32,150.88
Honor,Android,21.43,yes,no,13.0,8.0,128.0,4.0,4000.0,176.0,2020.0,327.0,159.75,103.59
Honor,Android,16.67,yes,no,13.0,8.0,64.0,4.0,3020.0,150.0,2020.0,268.0,111.46,86.79
Honor,Android,15.72,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020.0,344.0,117.94,74.6
Honor,Android,22.930000000000003,yes,yes,13.0,16.0,128.0,4.0,4100.0,206.0,2019.0,537.0,499.68,233.22875000000005
Honor,Others,8.73,no,no,13.0,16.0,4.0,4.0,455.0,80.0,2019.0,432.0,179.62,89.77
Honor,Android,15.72,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019.0,336.0,221.13,144.87
Honor,Android,22.930000000000003,yes,no,13.0,5.0,32.0,4.0,3020.0,146.0,2019.0,230.0,88.9,64.48
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019.0,248.0,129.83,97.03
Honor,Android,19.37,yes,no,13.0,17.0,128.0,4.0,3750.0,172.0,2019.0,395.0,249.12,161.05
Honor,Android,22.930000000000003,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019.0,421.0,180.04,90.02
Honor,Android,22.930000000000003,yes,no,13.0,5.0,32.0,4.0,3020.0,146.0,2019.0,532.0,120.58,60.35
Honor,Android,22.930000000000003,yes,no,5.0,2.0,32.0,4.0,5100.0,173.0,2019.0,266.0,248.9,167.63
Honor,Android,20.32,yes,no,8.0,8.0,32.0,4.0,5100.0,173.0,2019.0,321.0,201.14,131.89
Others,Android,20.32,no,no,8.0,0.3,16.0,4.0,5680.0,240.0,2013.0,933.0,240.9,72.36
HTC,Android,15.56,yes,no,13.0,16.0,32.0,4.0,3850.0,170.0,2019.0,187.0,180.5,136.38
HTC,Android,13.81,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019.0,499.0,220.9,110.54
